FQDN_count,subdomain_length,upper_count,lower_count,numeric_count,entropy,special_count,labels,get_labels_max,labels_average,longest_word,sld,len,subdomain,domain,predicted_label,score
56,36,5,19,29,4.189800050307763,3,4,28,13.25,3964356131393331323865343962,maliciousDomain,51,1,Y9HTqaP.3964356131393331323865343962.maliciousDomain.com,0,0.88
249,230,91,105,37,5.854336625945313,16,7,63,34.714285714285715,luqSCAVrZD67741WJ7voswnypliELoglH7tgQ6qM0-F-9Qp-5DdDsbAAFZa-4ai,seg4910research,245,1,38650.luqSCAVrZD67741WJ7voswnypliELoglH7tgQ6qM0-F-9Qp-5DdDsbAAFZa-4ai.z7icHiXrWpYPaYWO_hFFTB3fAD0cbdU_NguNIsar-QBwteIHxb_jmLziB8EVRDW.U-aOrsnSCr2hh8crqdZfOPQ54wmvziYqE6IR_rSQBSlZZOWjPnmExIlZtidYRRQ.BZHLxRK1hK00Zbkd4Zk0mXu5ORg1Mvun.seg4910research.tk,0,0.53
83,63,4,19,56,3.930881450638661,4,5,47,15.8,32626661363139623062313638356638393835326165653,maliciousDomain,78,1,95JbWjZ.32626661363139623062313638356638393835326165653.3313564.maliciousDomain.com,0,0.74
108,89,35,38,22,5.280272863587712,13,9,15,11.11111111111111,seg4910research,seg4910research,104,1,25813.SrB40iU_LXOXM.0YoY3mQyXXPZy.ff-yN1rN-OBeI.1NlNfDXxJ08kV.LUjnsvlq2_L3e.e_2Ji2Z2UVaLQ.seg4910research.tk,0,0.54
249,230,88,108,39,5.788138574059587,14,7,63,34.714285714285715,7lw-kJoYexmdb0bTXjYWhgrFlrUsuiL0CihRGmFacTSfUv-Jf78Ijf6kB_GNE1H,seg4910research,245,1,36780.7lw-kJoYexmdb0bTXjYWhgrFlrUsuiL0CihRGmFacTSfUv-Jf78Ijf6kB_GNE1H.-7l6IyaslRKh_E9wAkaxtLoEWTzE6Ri-C9qXl3quqKiKH6jO3LGsbMQXoygC_Gz.2UFrzCU9YWybuKs_m3XFhbjjyLjXC8b9OOyMATScOwFkfHC02slUMSlGZgDCMqB.y0U02WSMCO7nvJ4380uHiTcoeaexvGsm.seg4910research.tk,0,0.53
53,33,4,20,26,4.21774875612343,3,4,25,12.5,6634383835393933313237663,maliciousDomain,48,1,OjTK4wk.6634383835393933313237663.maliciousDomain.com,0,0.88
99,80,31,38,22,5.503869973589089,8,7,23,13.285714285714286,Cv6cGavem12PfHQH9QSHe67,seg4910research,95,1,15867.Cv6cGavem12PfHQH9QSHe67.4qSWJQ_wN4u3J9o-JjKIFnG.LQsfOnzOMDjG7jSWg3mTxy5.Vl.seg4910research.tk,0,0.54
99,80,29,46,17,5.266792448467682,7,7,23,13.285714285714286,BHZv6vPh1E6hwusBcYcCawF,seg4910research,95,1,55029.BHZv6vPh1E6hwusBcYcCawF.NYhX_acFEKXsgz6tbjmmOvU.Uz3FRmgXZPJll9m86PPgfca.CG.seg4910research.tk,0,0.54
64,44,2,20,39,3.8337115788838205,3,4,36,15.25,323266353935356537653736373632613733,maliciousDomain,59,1,c65s0pV.323266353935356537653736373632613733.maliciousDomain.com,0,0.91
100,81,25,46,21,5.324722159792378,8,7,23,13.428571428571429,wpdQA7pzFsrPfWxCzLSab3I,seg4910research,96,1,142460.wpdQA7pzFsrPfWxCzLSab3I.2n3fos1yUdN-9-omL1mtC9e.tmBDLseG3DxBHfeqBH3l0tA.VB.seg4910research.tk,0,0.54
68,48,4,20,41,3.98295030598349,3,4,40,16.25,3664643032613236643665623430376165346666,maliciousDomain,63,1,skVJI4g.3664643032613236643665623430376165346666.maliciousDomain.com,0,0.91
62,42,5,17,37,4.0607816632067975,3,4,34,14.75,6533363665303964363930636231656264,maliciousDomain,57,1,7PB04WO.6533363665303964363930636231656264.maliciousDomain.com,0,0.88
64,44,5,26,30,4.35845859334435,3,4,36,15.25,557a4e747346517c217c38377c217c323832,maliciousDomain,59,1,UzNtsFQ.557a4e747346517c217c38377c217c323832.maliciousDomain.com,0,0.9
99,80,31,40,19,5.471091059469528,9,7,23,13.285714285714286,zQ4Ou5metmFonVKxXLkbn1c,seg4910research,95,1,54012.zQ4Ou5metmFonVKxXLkbn1c.hNy6hUct-VIYRScOwGd8m6D.YH-PEA9n8GI4H-jNMHCzIi0.Oc.seg4910research.tk,0,0.54
99,80,29,44,18,5.357504064541886,8,7,23,13.285714285714286,xUsyrmElqnQxcEj4Nj1MhZ6,seg4910research,95,1,32404.xUsyrmElqnQxcEj4Nj1MhZ6.EU0cMJIpgWPKGm9eqnVDJMU.7ZFCri_Chqk_8yZb3EgwrW1.fU.seg4910research.tk,0,0.54
99,80,32,43,17,5.379956776931017,7,7,23,13.285714285714286,xqs5TDMvDtgqOJPAusyPgCz,seg4910research,95,1,70304.xqs5TDMvDtgqOJPAusyPgCz.tBRhm90KXRKsQ_6t4FpL8Hh.UspsZL3UmQbvSmDqVMUIeca.D6.seg4910research.tk,0,0.54
77,57,3,22,48,4.093584190035201,4,5,38,14.6,35656131633164376333646437383232373562,maliciousDomain,72,1,vPqjXdx.35656131633164376333646437383232373562.3231306231.maliciousDomain.com,0,0.73
60,40,5,19,33,4.142435840056263,3,4,32,14.25,64643533633935393639626165643763,maliciousDomain,55,1,UHF2gyQ.64643533633935393639626165643763.maliciousDomain.com,0,0.88
57,37,6,18,30,4.02020032061295,3,4,29,13.5,93639643630623362653333626363,maliciousDomain,52,1,SR5EBvV.93639643630623362653333626363.maliciousDomain.com,0,0.86
56,36,5,19,29,4.15315775511448,3,4,28,13.25,3862306366353337393961303634,maliciousDomain,51,1,rW3UDpS.3862306366353337393961303634.maliciousDomain.com,0,0.88
52,32,4,19,26,4.132192121571194,3,4,24,12.25,393035353462633237336531,maliciousDomain,47,1,4Xyn3AL.393035353462633237336531.maliciousDomain.com,0,0.88
54,34,5,20,26,4.2607590153467845,3,4,26,12.75,31323938376634663739363430,maliciousDomain,49,1,INrClKe.31323938376634663739363430.maliciousDomain.com,0,0.88
99,80,29,41,20,5.313417923364106,9,7,23,13.285714285714286,CyAVXfI9SHIkTTlecyL95xl,seg4910research,95,1,78487.CyAVXfI9SHIkTTlecyL95xl.oA0zgDE6n9L3ykkEk9mWAo8.qWcQwl4zbWMED-hD_If4_Sn.XX.seg4910research.tk,0,0.54
60,40,3,20,34,4.022766157863498,3,4,32,14.25,66333936346661663731646237323138,maliciousDomain,55,1,dY8ayC1.66333936346661663731646237323138.maliciousDomain.com,0,0.88
54,34,4,19,28,4.0595379647257905,3,4,26,12.75,65336634336330366531303230,maliciousDomain,49,1,PI7xqU0.65336634336330366531303230.maliciousDomain.com,0,0.88
99,80,33,43,15,5.4797249278763305,8,7,23,13.285714285714286,iTLV_KHXbdU-rjLfBMIioLl,seg4910research,95,1,45694.iTLV_KHXbdU-rjLfBMIioLl.1TVFjVplNgIszutIJT3ci5o.a66WrIGTwcayObHEFqG9ygY.SR.seg4910research.tk,0,0.54
248,229,95,104,41,5.836163952871124,8,7,63,34.57142857142857,jxdLzXlGGWnrx5Ud9TSTpIvnRJHsvmUnwZgXNHOCjzOWs0HpCXxWKv8WSdJXAuq,seg4910research,244,1,9494.jxdLzXlGGWnrx5Ud9TSTpIvnRJHsvmUnwZgXNHOCjzOWs0HpCXxWKv8WSdJXAuq.BpFuORW7Mk4uaDQvBS1p3LIxM7clRJcldYOIxgmg7MVtMyEFTUJX7SCS4hnrQ6K.FNgGtPz3EbrTTfmv7Ti20vFc7Fyg2R7McBfF68bxfko6szTcrnMR4A5O1F6y_dP.BzZN-9vnxajRPx8B1rQezIY9b98xdlwK.seg4910research.tk,0,0.53
62,42,3,20,36,3.976628410389261,3,4,34,14.75,3665353865636662663061623430343634,maliciousDomain,57,1,r62lfRN.3665353865636662663061623430343634.maliciousDomain.com,0,0.88
249,230,93,97,48,5.829612299689174,11,7,63,34.714285714285715,1LXw2hGQ0VO4Oa0RcS203whTwhxrZUTCMznEl2Hs0pCcSTF05LQbB19L8JuAgdY,seg4910research,245,1,13759.1LXw2hGQ0VO4Oa0RcS203whTwhxrZUTCMznEl2Hs0pCcSTF05LQbB19L8JuAgdY.H-u5zeuqRh6OrEZbsJP5gRoi2FjmYR43jw1NvvKGveDbqo8qvy0OUXm8vUHC2pw.8sXgm6EwqEZIi3XWIjlU0AoV1x3ZHQsAqOdR6PH-k-XCTLWNz00APhc-wPSY9Ta._jepnEsj2R1lSBIQwEbuQ0ZRDYdczvxB.seg4910research.tk,0,0.53
51,31,3,21,24,4.232701381869132,3,4,23,12.0,56261623936366233363938,maliciousDomain,46,1,0PJtejy.56261623936366233363938.maliciousDomain.com,0,0.89
78,58,4,20,51,3.892552297422991,3,4,50,18.75,32396334323836643934363330366536623937346536643832,maliciousDomain,73,1,b6BNtfP.32396334323836643934363330366536623937346536643832.maliciousDomain.com,0,0.91
60,40,3,20,34,4.074303145971829,3,4,32,14.25,65396365376166373533393235376239,maliciousDomain,55,1,dY8ayC1.65396365376166373533393235376239.maliciousDomain.com,0,0.88
